Key,Korean,English,Japanese
Item_Name_BananaBunch,바나나 다발,Banana Bunch,バナナの房
Item_Desc_BananaBunch,달콤하고 맛있는 바나나 다발입니다. 기력을 회복시켜줍니다.,A bunch of sweet and delicious bananas. Restores energy.,甘くておいしいバナナの房です。気力を回復させます。
Item_Name_BlueCrystal,푸른 수정,Blue Crystal,青い水晶
Item_Desc_BlueCrystal,신비한 푸른 빛을 내는 수정입니다. 마력의 근원이 됩니다.,A crystal emitting a mysterious blue light. A source of mana.,神秘的な青い光を放つ水晶です。魔力の源となります。
Item_Name_BluePotion,마나 물약,Mana Potion,マナポーション
Item_Desc_BluePotion,잃어버린 마나를 회복시켜주는 푸른 물약입니다.,A blue potion that restores lost mana.,失われたマナを回復させる青いポーションです。
Item_Name_Boots,가죽 부츠,Leather Boots,革のブーツ
Item_Desc_Boots,여행자를 위한 튼튼하고 편안한 가죽 부츠입니다.,Sturdy and comfortable leather boots for travelers.,旅行者のための丈夫で快適な革のブーツです。
Item_Name_BreadLoaf,빵 한 덩이,Loaf of Bread,パン
Item_Desc_BreadLoaf,갓 구워낸 고소한 빵입니다. 허기를 채우기에 좋습니다.,Freshly baked bread. Good for satisfying hunger.,焼きたての香ばしいパンです。空腹を満たすのに最適です。
Item_Name_CheeseWheel,치즈 휠,Cheese Wheel,チーズ
Item_Desc_CheeseWheel,숙성된 거대한 치즈 덩어리입니다. 풍미가 일품입니다.,A massive wheel of aged cheese. Excellent flavor.,熟成された巨大なチーズの塊です。風味が絶品です。
Item_Name_ChocolateBar,초콜릿 바,Chocolate Bar,チョコレート
Item_Desc_ChocolateBar,달콤한 초콜릿입니다. 피로 회복에 도움을 줍니다.,Sweet chocolate. Helps with fatigue recovery.,甘いチョコレートです。疲労回復に役立ちます。
Item_Name_CopperIngot,구리 주괴,Copper Ingot,銅のインゴット
Item_Desc_CopperIngot,제련된 구리 덩어리입니다. 기본적인 제작 재료로 쓰입니다.,Refined copper block. Used as a basic crafting material.,精錬された銅の塊です。基本的な製作材料として使われます。
Item_Name_Dagger,단검,Dagger,短剣
Item_Desc_Dagger,작고 가벼운 단검입니다. 호신용으로 적합합니다.,A small and light dagger. Suitable for self-defense.,小さくて軽い短剣です。護身用に適しています。
Item_Name_Emerald,에메랄드,Emerald,エメラルド
Item_Desc_Emerald,영롱한 초록빛을 띠는 보석입니다.,A gem with a brilliant green hue.,玲瓏な緑色を帯びた宝石です。
Item_Name_FishPlatter,생선 요리,Fish Platter,魚料理
Item_Desc_FishPlatter,신선한 생선을 맛있게 조리한 요리입니다.,A delicious dish made from fresh fish.,新鮮な魚をおいしく調理した料理です。
Item_Name_FriedEgg,계란 프라이,Fried Egg,目玉焼き
Item_Desc_FriedEgg,노른자가 살아있는 반숙 계란 프라이입니다.,A sunny-side-up fried egg.,黄身が生きている半熟の目玉焼きです。
Item_Name_FrostedDonut,설탕 도넛,Frosted Donut,ドーナツ
Item_Desc_FrostedDonut,달콤한 설탕으로 코팅된 도넛입니다.,A donut coated with sweet frosting.,甘い砂糖でコーティングされたドーナツです。
Item_Name_GoldCoin,금화,Gold Coin,金貨
Item_Desc_GoldCoin,왕국에서 통용되는 금화입니다. 반짝거립니다.,A gold coin used in the kingdom. It sparkles.,王国で通用する金貨です。キラキラしています。
Item_Name_GoldNugget,금 덩어리,Gold Nugget,金の塊
Item_Desc_GoldNugget,순도 높은 자연산 금 덩어리입니다.,A high-purity natural gold nugget.,純度の高い自然産の金の塊です。
Item_Name_GreenPear,청배,Green Pear,梨
Item_Desc_GreenPear,시원하고 아삭한 맛이 일품인 배입니다.,A pear with a refreshing and crisp taste.,涼しくてシャキシャキした味が逸品の梨です。
Item_Name_GreenPotion,해독제,Antidote,解毒剤
Item_Desc_GreenPotion,체내의 독소를 제거해주는 초록색 물약입니다.,A green potion that removes toxins from the body.,体内の毒素を除去してくれる緑色のポーションです。
Item_Name_HotSoup,따뜻한 수프,Hot Soup,温かいスープ
Item_Desc_HotSoup,김이 모락모락 나는 야채 수프입니다. 마음까지 따뜻해집니다.,Steaming vegetable soup. Warms the heart.,湯気が立つ野菜スープです。心まで温まります。
Item_Name_IronOre,철광석,Iron Ore,鉄鉱石
Item_Desc_IronOre,철을 추출할 수 있는 원석입니다.,Raw ore from which iron can be extracted.,鉄を抽出できる原石です。
Item_Name_IronShield,철무장 방패,Iron Shield,鉄の盾
Item_Desc_IronShield,단단한 철로 보강된 방패입니다. 웬만한 공격은 막아냅니다.,A shield reinforced with hard iron. Blocks most attacks.,硬い鉄で補強された盾です。大抵の攻撃は防ぎます。
Item_Name_IronSword,철검,Iron Sword,鉄の剣
Item_Desc_IronSword,병사들이 주로 사용하는 표준적인 철검입니다.,A standard iron sword used by soldiers.,兵士たちが主に使う標準的な鉄の剣です。
Item_Name_LeatherHelmet,가죽 투구,Leather Helmet,革の兜
Item_Desc_LeatherHelmet,가공된 가죽으로 만든 투구입니다. 가볍습니다.,A helmet made of processed leather. It is light.,加工された革で作った兜です。軽いです。
Item_Name_LeatherPiece,가죽 조각,Leather Piece,革の欠片
Item_Desc_LeatherPiece,동물의 가죽을 무두질한 조각입니다.,A tanned piece of animal hide.,動物の皮をなめした欠片です。
Item_Name_MagicDust,마법 가루,Magic Dust,魔法の粉
Item_Desc_MagicDust,반짝이는 마법의 가루입니다. 연금술 재료로 쓰입니다.,Sparkling magic dust. Used in alchemy.,キラキラする魔法の粉です。錬金術の材料として使われます。
Item_Name_MagicStaff,마법 지팡이,Magic Staff,魔法の杖
Item_Desc_MagicStaff,마력이 깃든 나무 지팡이입니다. 주문을 외우기 편해집니다.,A wooden staff imbued with mana. Aids in casting spells.,魔力が宿った木の杖です。呪文を唱えやすくなります。
Item_Name_MoonRock,월석,Moon Rock,月の石
Item_Desc_MoonRock,달에서 떨어졌다고 전해지는 신비한 돌입니다.,A mysterious stone said to have fallen from the moon.,月から落ちたと伝えられる神秘的な石です。
Item_Name_MysteriousBook,신비한 고서,Mysterious Book,神秘的な古書
Item_Desc_MysteriousBook,해독할 수 없는 문자로 가득 찬 낡은 책입니다.,An old book filled with undecipherable text.,解読できない文字でいっぱいの古い本です。
Item_Name_OldKey,낡은 열쇠,Old Key,古い鍵
Item_Desc_OldKey,어느 상자를 여는 열쇠일까요? 녹이 슬어 있습니다.,What box does this key open? It is rusty.,どの箱を開ける鍵でしょうか？錆びています。
Item_Name_Pearl,진주,Pearl,真珠
Item_Desc_Pearl,바다의 눈물이라 불리는 아름다운 보석입니다.,A beautiful gem called the tear of the ocean.,海の涙と呼ばれる美しい宝石です。
Item_Name_PinkGem,로즈 쿼츠,Rose Quartz,ローズクォーツ
Item_Desc_PinkGem,사랑스러운 분홍빛을 띠는 보석입니다.,A gem with a lovely pink hue.,愛らしいピンク色を帯びた宝石です。
Item_Name_PurpleElixir,신비한 엘릭서,Mystic Elixir,神秘のエリクサー
Item_Desc_PurpleElixir,모든 상태 이상을 회복시켜주는 영약입니다.,An elixir that cures all status ailments.,すべての状態異常を回復させる霊薬です。
Item_Name_PurpleGrapes,적포도,Purple Grapes,ブドウ
Item_Desc_PurpleGrapes,탐스럽게 익은 보라색 포도입니다. 달콤합니다.,Ripened purple grapes. Very sweet.,美味しそうに熟した紫色のブドウです。甘いです。
Item_Name_RedApple,빨간 사과,Red Apple,赤いリンゴ
Item_Desc_RedApple,윤기가 흐르는 빨간 사과입니다. 아침에 먹으면 좋습니다.,A shiny red apple. Good to eat in the morning.,艶のある赤いリンゴです。朝に食べると良いです。
Item_Name_RedPotion,체력 물약,Health Potion,ヘルスーポーション
Item_Desc_RedPotion,상처를 치유해주는 붉은 물약입니다.,A red potion that heals wounds.,傷を癒してくれる赤いポーションです。
Item_Name_RoastChicken,로스트 치킨,Roast Chicken,ローストチキン
Item_Desc_RoastChicken,오븐에서 노릇하게 구워진 통닭입니다.,A whole chicken roasted to golden perfection.,オーブンでこんがり焼かれた丸ごとの鶏です。
Item_Name_Ruby,루비,Ruby,ルビー
Item_Desc_Ruby,열정적인 붉은 빛을 뿜어내는 보석입니다.,A gem emitting a passionate red light.,情熱的な赤い光を放つ宝石です。
Item_Name_Sandwich,샌드위치,Sandwich,サンドイッチ
Item_Desc_Sandwich,신선한 야채와 햄을 끼운 샌드위치입니다.,A sandwich containing fresh vegetables and ham.,新鮮な野菜とハムを挟んだサンドイッチです。
Item_Name_StarShard,별의 조각,Star Shard,星のかけら
Item_Desc_StarShard,밤하늘의 별똥별이 떨어져 생긴 파편입니다.,A fragment resulted from a fallen shooting star.,夜空の流れ星が落ちてできた破片です。
Item_Name_SteakMeat,생고기,Raw Steak,生肉
Item_Desc_SteakMeat,마블링이 훌륭한 신선한 고기입니다. 구워 드세요.,Fresh meat with excellent marbling. Cook before eating.,霜降りが素晴らしい新鮮な肉です。焼いて食べてください。
Item_Name_SteelBar,강철 주괴,Steel Ingot,鋼鉄のインゴット
Item_Desc_SteelBar,구리보다 훨씬 단단하게 제련된 강철입니다.,Steel refined to be much harder than copper.,銅よりはるかに硬く精錬された鋼鉄です。
Item_Name_StoneBlock,석재 블록,Stone Block,石材ブロック
Item_Desc_StoneBlock,건축 자재로 쓰이는 다듬어진 돌입니다.,Cut stone used as building material.,建築資材として使われる手入れされた石です。
Item_Name_StrawberryPie,딸기 파이,Strawberry Pie,イチゴパイ
Item_Desc_StrawberryPie,상큼한 딸기 잼이 가득 들어있는 파이입니다.,A pie filled with tangy strawberry jam.,さわやかなイチゴジャムがたっぷり入っているパイです。
Item_Name_SweetCake,생크림 케이크,Cream Cake,生クリームケーキ
Item_Desc_SweetCake,부드러운 생크림이 올려진 달콤한 케이크입니다.,A sweet cake topped with soft whipped cream.,柔らかい生クリームが乗った甘いケーキです。
Item_Name_TreasureMap,보물 지도,Treasure Map,宝の地図
Item_Desc_TreasureMap,X 표시가 그려진 낡은 지도입니다. 보물이 묻혀있을까요?,An old map with an X mark. Is there buried treasure?,X印が描かれた古い地図です。宝物が埋まっているでしょうか？
Item_Name_WizardHat,마법사 모자,Wizard Hat,魔法使いの帽子
Item_Desc_WizardHat,챙이 넓은 고깔 모자입니다. 마법사들의 상징입니다.,A wide-brimmed conical hat. Symbol of wizards.,つばの広いとんがり帽子です。魔法使いたちの象徴です。
Item_Name_WoodenBow,나무 활,Wooden Bow,木の弓
Item_Desc_WoodenBow,탄력이 좋은 나무를 깎아 만든 기본적인 활입니다.,A basic bow carved from varying elastic wood.,弾力の良い木を削って作った基本的な弓です。
Item_Name_WoodenLog,참나무 통나무,Oak Log,オークの丸太
Item_Desc_WoodenLog,건축이나 제작에 쓰이는 튼튼한 통나무입니다.,Sturdy log used for construction or crafting.,建築や製作に使われる丈夫な丸太です。
Item_Name_WoolBall,털실 뭉치,Wool Ball,毛糸玉
Item_Desc_WoolBall,양털로 자은 부드러운 털실 뭉치입니다.,A soft ball of yarn spun from sheep's wool.,羊毛で紡いだ柔らかい毛糸玉です。
UI_Lobby_Gold,골드: {0},Gold: {0},ゴールド: {0}
UI_Lobby_Refresh,새로고침,Refresh,更新
UI_Lobby_CreateBattle,배틀 생성,Create Battle,バトル作成
UI_Battle_Participate,참가,Participate,参加
UI_Battle_Attempts,도전 횟수,Attempts,挑戦回数
UI_Battle_Host,호스트: {0},Host: {0},ホスト: {0}
UI_Result_Win,승리!,VICTORY!,勝利!
UI_Result_Lose,패배...,DEFEAT...,敗北...
